filename,text,label
20170101001.txt,"                  Глава 16
                  ОКЛЕНД

  В субботу 10 декабря отправились в Окленд, город напротив Сан-Франциско, через одноименный залив. Повёз Дмитрий на своей ""Тойоте"". В аэропорт Окленда прилетел внук Дмитрия, Костя. Он уже прилетал на День Благодарения из Сан-Диего, где учился в университете. Вообще-то Костя закончил университет ещё летом, в 19 лет, но когда ему стали выписывать диплом, оказалось, что он не прошёл первую часть курса какого-то экономического предмета, сдав, однако, экзамен за его вторую часть, а первую пропустил не по своей воле: у него был индивидуальный график обучения и по ошибке ему пропустили в этом графике полкурса экономической дисциплины. Пришлось ему с сентября по ноябрь изучать пропущенную часть курса, после чего получил диплом в свои 19 лет.

  Коль уж мы оказались в Окленде, то мне предложили посмотреть главную достопримечательность города -- Джек Лондон-сквер. Возможно, в городе есть на что посмотреть, и местные жители нашли бы что предложить заезжему человеку, но по причине дефицита времени решили ограничиться Джек Лондон-сквером. Сам город имеет подмоченную репутацию, в смысле криминала. Более половины жителей города составляют афро",0
20170101002.txt,"Что чувствует петух когда выходит на ринг, оказывается в центре внимания, таджи, петушиные шпоры, которые прикрепляют, чтобы сделать бой более зрелищным, и красивым, для петуха, это непосильная ноша, по сравнению с весом его тела, когда выводят на ринг петуха, ему закрывают глаза, для того чтобы он увидев соперника накинулся на него со всей яростью, этого момента ждет зритель, этого момента ждут все. Кровь, кровь пульсирует в висках от того, что атмосфера храма, в которой проводится бой, настолько раскалена от волнения, от криков, и от шума зала. Судья в индейском головном уборе, после каждого боя, в знак одобрения и поощрения, дарит куб, перо орла, это самая высшая награда для война, каждого мальчика. С самого раннего детства всеми силами, дети и взрослые, мужчины, выращивают боевых петухов, но попасть в храм могут не все, вожди племени отбирают самых достойных из них, от петуха нельзя избавиться, это священная птица которая должна прожить со своим хозяином свою жизнь. После смерти петуха, его голову высушивают, слогают легенды и передают как реликвию своим детям, которые оберегают ее как самую большую ценность своего дома, все легенды записываются в храме, который высечен в скале",0
20170101003.txt,"Предупреждение: глава содержит откровенные сцены и нецензурную лексику.

Глава 14: Исключительное сходство.

Никогда прежде я не задумывалась о том, что из удивительного сходства Марка и Януса можно извлечь исключительную пользу. Но если бы ни внешность Марка, и поддельные документы, предусмотрительно изготовленные Адамом на имя сына покойного президента, Януса Валетте, мы никогда бы не покинули страну в день теракта произошедшего в аэропорту. К счастью, не смотря на интерес Федеральной Службы Охраны к моему небезгрешному брату, мы довольно просто договорились о частном самолете и разрешении на прямой рейс из Москвы в Бангкок. 
За то время, что я подвергалась исследованиям Адама (стоит заметить, что я намеренно умалчиваю о найденном в процессе опытов лекарстве, дабы никто не имел надо мной власти), мой новый защитник, изучив обширную базу по убийствам во всем мире, смог определить примерное местоположение Сумеречного охотника. Серия заказных убийств произошедших за последние две недели, по-видимому, совершенных именно Яном, охватывала территорию Таиланда. Вероятнее всего, он перемещался из города в город, исполняя заказы, нигде надолго не задерживаясь. Если бы он вдруг затаился, от",0
20170101004.txt,"            Transluzent feat. Carla Vallet - Blame.mp3
 Утро выдалось прохладным и влажным, поэтому когда людей волной внесло в электричку, и все принялись рассаживаться по своим местам, многие кутались в свои ветровки, устраиваясь поудобнее в мягких синих креслах, и, постепенно оттаивая, с облегчением смотрели за стекло на удаляющийся серый перрон. 
 Одна из возрастных пассажирок по имени Надежда ехала одна, и потому прежде чем уткнуться в книжку, от скуки огляделась. 
 Люди как люди. Уныло. 
 На противоположной стороне вагона, чуть впереди напротив сидела девочка. Выглядела она неприметно, но случайно оказалась достаточно приятной на вид, чтоб удостоится ленивого разглядывания и мимолетного изучения, и достаточно рассеянной, чтоб этого упрямо не замечать. Устроившись в кресле, она закуталась в мешковатую ветровку и погрузилась в себя, нечаянно завладев вниманием почтенной незнакомки, которая как педагог по праву считалась человеком наблюдательным и проницательным, и почему-то, не отдавая себе в том отчета, то и дело возвращалась взглядом к юной попутчице, несмотря на всю ее обыденную неброскость. 
И все-же что-то в ней было... Что-то странное, притягательное, будоражащее фантазию",0
20170101005.txt,"ВЕРНЫЕ В МАЛОМ


Лично мне очень нравится молочный коктейль, особенно если он хорошо взбит. Тогда пьёшь его с большим наслаждением и получаешь удовольствие от мягкой, нежной и ароматной пенки, такой тёплой и такой пушистой. И совсем другое впечатление испытываешь, когда тебе подают просто холодное молоко со слегка сладковатым привкусом и не разбитыми льдинками на дне стакана. Сразу приходит сожаление о том, что зря потратил деньги, потому что не получил от этого ни пользы, ни удовольствия.

В моем районе есть магазин, в котором этот самый молочный коктейль всегда пушистый, мягкий и очень вкусный. Нигде в другом месте не пробовала такого. Я часто покупаю его, когда мимоходом выхожу из магазина. И всегда качество этого напитка поднимает мне настроение. Мы всё реже встречаемся с чем-то настоящим, поэтому так бурно реагируем, когда оно касается наших будней.
Ожидая в очереди, я наблюдала за молодой, удивительно приятной женщиной, которая спокойно и ровно разливала в стаканы пенящийся молочный напиток. Месяц за месяцем, неделя за неделей, день за днём -- каждый день сотни покупателей, тысячи стаканов и всегда молчаливое отменное качество! Никогда не схалтурила, не нарушила вкус, не посп",0
20170101006.txt,"Фантастика (сказка для взрослых)

Часть 1.
 
Сияние любви третьего измерения.

Глава 1
Группа любителей приключений  спускалась по отлогому склону невысокой горы. Покрытая клочками растительности, гравия, песка и мелкого щебня, поверхность уклона поражала странным притяжением подошв  походной обуви.
Периодами, скользя, но удерживая равновесие, трое ребят, с туристическим снаряжением, осторожно спускались с горы. Молодые люди шли  по склону на свой страх и риск, движимые любопытством и желанием разгадать неизвестное явление, обрушившееся  на них с высоты птичьего полёта. Ребята ночевали в гроте у вершины этой невысокой горы, ничем не примечательной и доступной к восхождению. Сидя у костра, они спорили о предназначении горы, напоминавшей скорее пирамиду, чем природное образование. Юноши громко обсуждали свои версии под мирное потрескивание горящих, сухих сучьев. На треножнике закипал походный чайник, от основания которого, на проволочном приспособлении, обжаривалась рыба.
""Завтрак готов! Идти  ловить рыбу на ужин очередь за Сашкой.. Мы с Хоризмой, попытаемся обследовать эту загадочную гору и решить, можно ли считать её пирамидой.""
Сашка, высокий, спортивного сложения, красивый парень",0
20170101007.txt,"КАФЕ ""Шторм"" находилось на окраине города. 
В зале сидело несколько человек. За столиком возле окна сидело три мужчины, которые распивали бутылку водки. За следующим столиком сидела молоденькая девушка, которая пила кофе. Я заказала тоже чашечку кофе и сел у дверей, чтобы мне было видно людей, которые входили и выходили из кафе.
Мужчины, видно, были зачдливые охотники, потому как спорили о преимуществах охоты с гончей собакой на зайца. Старший из них говорил о том, что его гончая запросто могла догнать зайца в поле.
Я думал о том неизвестном человеке, который должен подойти ко мне. Меня интриговало то обстоятельство, что, по словам Тараса, этот незнакомец знал меня. Откуда Почему моя личность могла представлять для кого-то интерес Впрочем, по долгу своей работы мне приходится встречаться со многими людьми, имена и лица которых я давно забыл. Интересно было узнать, какой информацией он обладает, и как я могу использовать. Конечно, меня радовал тот факт, что нашелся в данной местности хоть один человек, которого интересует судьба девушки.
Он появился спустя полчаса, я успел выпить всего две чашечки не совсем вкусного кофе. Это был плотный мужчина лет тридцати пяти. Лицо правильное, г",0
20170101008.txt,"Слона не замечают, потому что он мало двигается.

С тех пор, как девочке из верхней квартиры купили пианино, я легко определяю начало и окончание школьных каникул. 

Если вам страшно на пороге кабинета стоматолога -- идите к двестиматологу.

Дорогая, как же я соскучился по твоему молчанию!

С возрастом уходит резвость. Зато наступает трезвость...

Женщина -- совершенно непредсказуемое существо. Вчера она делила с вами постель, а завтра -- не ответит на звонок. Или наоборот: вчера -- не ответила на звонок, а завтра -- разделит постель. Второй вариант -- предпочтительнее...

Раньше верили в светлое будущее. Теперь -- что не наступит тёмное.

Цивилизация начинается с комфортабельных бесплатных туалетов. 

Люди похожи на механизмы. Чем старше, тем чаще приходится смазывать детали.


ЭТО БЫЛИ ФиЛогизмы (фразы и логизмы), 46-й выпуск. (47-й уже готовится!)

Предыдущий, 45-й, - по ссылке:

http://www.proza.ru/2015/09/23/1937
",0
20170101009.txt,"Так случилось, что одним декабрьским вечером мне нужно было попасть на приём к врачу, в диагностический центр. Расстояние от моего дома до данного лечебного учреждения было небольшое, но я изрядно опаздывал и поэтому решил пешком не идти, а доехать на общественном транспорте. Выйдя к остановке рядом с домом, я принялся ждать. Первым подкатил новый жёлтый троллейбус. Рассудив, что он хоть он и ездит медленнее маршруток, но та ещё не известно когда будет, а троллейбус вот он здесь, я вскочил в салон и прошёл к свободному сидению.
Троллейбус был полупустым. Мимо пластмассовых кресел как бы нехотя шествовала женщина кондуктор среднего возраста, в зеленом форменном фартуке. Спереди от меня сидела парочка студентов и о чём-то тихо шепталась. Справа доносились обрывки разговора. 
- Я найду его, поговорю и всё решу.
- Ты здесь его не нашёл, а в Одессе говоришь найдёшь
Это беседовали двое мужчин лет шестидесяти двух -- шестидесяти пяти, в общем пенсионеры того самого возраста, в котором уже можно не работать и пожить в своё удовольствие, пока тебя не успела разбить стариковая дряхлость. Тот, который собрался кого-то искать в Одессе сидел ближе к окну. Он увлечённо продолжал. 
- Найду, обяза",0
20170101010.txt,"(Опубликовано в г. ""Литературная Россия""  17 от 25.04.2014г.)
*  *  *

СОЛНЕЧНЫЙ МАЛЬЧИК.

Были в нашей недавней прозе свои ""звёздные мальчики"": Юрий Трифонов, ставший в 26 лет сталинским лауреатом за повесть ""Студенты""; Василий Аксёнов со своими ""Коллегами"" и ""Звёздным билетом""; Анатолий Гладилин, в 21 год печатающийся в популярных журналах; другие адепты ""исповедальной прозы""... Да и наши ""новые реалисты"" стали известны в 2000-е годы отнюдь не в пору их старости: молоды были и З.Прилепин, и Р.Сенчин, и И.Кочергин, и С.Шаргунов, и Р.Сагдулаев, и А.Рубанов, и В.Авченко, и Д.Гуцко...Замечу в скобках: не старики они и сейчас.

В общем, ""звёздные"" были. А вот были ли в нашей словесности ""солнечные мальчики"" Всё-таки, к творчеству чаще всего подвигает не сладость и нега жизни, а тяжесть испытаний и сложность переживаний. 
Пожалуй, только одно имя из последних приходит сейчас на ум в связи с ""солнечным"" позитивом творчества. Это Александр Снегирёв, тоже, кстати, реалист.
 
Недавно умерший	 французский кинорежиссёр Рене Клер писал: ""Если вы легкомысленный человек, снимайте легкомысленные фильмы"", т.е. не спорьте со своей природой. И, слава богу, А.Снегирёв с самого начала со своей природ",0
